ST,PWGTP,AGEP,WAGP,WKHP,YOEP,FOD1P,NATIVITY,WAOB,weeks,race,hispanic,ftfy,fulltime,female,baby
01,82,33,28000,40,,6206,1,1,1,1,0,1,1,0,
01,67,31,50000,36,,6107,1,1,1,1,0,1,1,1,0
01,141,33,63000,40,,2102,1,1,1,4,0,1,1,0,
01,80,31,70000,40,,6201,1,1,1,1,0,1,1,1,0
01,51,35,138000,45,,6212,1,1,1,1,0,1,1,0,
01,57,31,55000,40,,2406,1,1,1,1,0,1,1,0,
01,90,30,45000,40,,2100,1,1,1,1,0,1,1,0,
01,85,40,42000,40,,6102,1,1,1,1,0,1,1,1,0
01,69,35,66000,47,,6105,1,1,1,1,0,1,1,1,0
01,81,36,47700,45,,1904,1,1,1,1,0,1,1,0,
01,103,38,39000,45,,2312,1,1,1,1,0,1,1,1,0
01,80,36,62000,30,,3700,1,1,1,1,0,0,0,1,0
01,93,36,12000,30,,6200,1,1,2,1,0,0,0,0,
01,12,36,90000,45,,5506,1,1,1,4,0,1,1,0,
01,57,35,126000,70,,2306,1,1,1,1,0,1,1,0,
01,56,39,100000,40,,6207,1,1,1,1,0,1,1,0,
01,97,33,71000,45,,3301,1,1,1,1,0,1,1,1,0
01,85,37,120000,40,,6203,1,1,1,1,0,1,1,0,
01,70,35,35000,40,,6207,1,1,1,1,0,1,1,1,0
01,56,40,149000,50,,2400,1,1,1,1,0,1,1,0,
01,65,32,40000,45,,1302,1,1,1,1,0,1,1,1,0
01,70,35,20000,40,,2100,1,1,3,1,0,0,1,1,0
01,125,34,52000,45,,2306,1,1,1,1,0,1,1,1,0
01,131,34,104000,45,,2408,1,1,1,1,0,1,1,0,
01,255,32,12000,40,,5506,1,1,1,1,0,1,1,0,
01,95,38,31000,35,,3301,1,1,1,1,0,0,0,1,0
01,81,36,40000,40,,2307,1,1,3,1,0,0,1,1,0
01,57,38,35000,40,,2300,1,1,1,1,0,1,1,1,0
01,20,40,45000,40,,5000,1,1,1,1,0,1,1,1,0
01,133,40,50000,40,,5503,1,1,1,1,0,1,1,0,
01,16,39,18000,40,,6207,1,1,1,1,0,1,1,1,0
01,58,37,42000,40,,6201,1,1,1,1,0,1,1,0,
01,101,40,40000,42,,1902,1,1,4,1,0,0,1,1,0
01,21,30,10000,40,,2304,1,1,6,1,0,0,1,1,0
01,9,38,43000,40,1981,6103,2,4,1,3,0,1,1,1,0
01,74,30,38000,55,,4901,1,1,1,1,0,1,1,0,
01,91,30,65000,40,,6207,1,1,1,1,0,1,1,1,1
01,79,31,46000,40,,2304,1,1,6,1,0,0,1,1,1
01,63,33,80000,60,,2499,1,1,1,1,0,1,1,0,
01,153,40,24000,30,,6107,1,1,1,4,0,0,0,1,0
01,84,35,39000,40,,2602,1,1,1,1,0,1,1,1,1
01,104,30,32000,40,,2304,1,1,1,1,0,1,1,0,
01,81,39,85000,50,,5601,1,1,1,1,0,1,1,0,
01,77,38,45000,65,,4101,1,1,1,1,0,1,1,0,
01,79,37,31000,40,,1904,1,1,1,1,0,1,1,1,0
01,98,35,103000,40,,1301,1,1,1,1,0,1,1,0,
01,80,38,48000,40,,6203,1,1,1,1,0,1,1,1,1
01,97,34,54000,40,,2105,1,1,1,1,0,1,1,0,
01,30,35,27000,40,,6207,1,1,1,1,0,1,1,1,0
01,21,32,42000,40,,6207,1,1,1,1,0,1,1,1,0
01,83,36,11000,30,,5200,1,1,1,2,0,0,0,1,0
01,14,37,37000,42,,6201,1,1,1,1,0,1,1,1,0
01,102,36,24000,12,,6107,1,1,1,1,0,0,0,1,1
01,69,40,19000,35,,2309,1,1,4,1,0,0,0,1,0
01,71,39,88000,40,,5200,1,1,1,1,0,1,1,1,0
01,55,31,18000,40,,1903,1,1,1,2,0,1,1,1,0
01,107,40,35000,48,,1903,1,1,1,1,0,1,1,0,
01,130,38,77000,40,,6206,1,1,1,1,0,1,1,1,0
01,145,37,9000,30,1998,6201,2,3,4,3,0,0,0,0,
01,77,35,120000,30,,6211,1,1,1,1,0,0,0,0,
01,59,32,34100,40,,5507,1,1,1,2,0,1,1,1,0
01,80,40,74000,40,,1301,1,1,1,1,0,1,1,1,0
01,119,36,45000,50,,5404,1,1,1,2,0,1,1,1,0
01,160,34,61000,50,,5301,1,1,1,1,0,1,1,0,
01,155,39,50000,40,,6200,1,1,1,2,0,1,1,0,
01,109,31,75000,40,,6109,1,1,1,1,0,1,1,1,0
01,304,36,55000,50,,6201,1,1,3,1,0,0,1,1,0
01,138,33,40000,45,,2307,1,1,1,1,0,1,1,1,0
01,156,33,44800,40,,6107,1,1,1,1,0,1,1,1,0
01,97,37,14000,25,,2300,1,1,1,1,0,0,0,1,1
01,66,34,61000,40,,6203,1,1,1,1,0,1,1,0,
01,117,39,54000,40,,5102,1,1,1,1,0,1,1,1,0
01,205,32,32000,42,,6107,1,1,1,1,0,1,1,1,0
01,102,34,100000,45,,6207,1,1,1,1,0,1,1,0,
01,62,35,5000,12,,2307,1,1,4,1,0,0,0,1,0
01,110,34,50000,45,,6201,1,1,1,1,0,1,1,1,0
01,57,38,36000,45,,5301,1,1,1,1,0,1,1,0,
01,84,30,50000,40,,6206,1,1,1,1,0,1,1,1,0
01,41,39,31500,55,,5301,1,1,3,2,0,0,1,1,0
01,113,37,2500,30,,6200,1,1,5,2,0,0,0,1,0
01,50,31,20000,40,,4007,1,1,1,2,0,1,1,1,0
01,60,30,44000,40,,6203,1,1,1,2,0,1,1,1,0
01,20,33,58000,40,,2411,1,1,1,2,0,1,1,0,
01,78,40,42000,40,,6207,1,1,1,1,0,1,1,1,0
01,83,39,45000,40,,1903,1,1,1,1,0,1,1,1,0
01,172,31,30000,40,,6206,1,1,1,1,0,1,1,0,
01,171,33,42000,40,1978,1301,1,3,1,1,1,1,1,0,
01,311,40,30000,40,,6200,1,1,1,1,0,1,1,1,0
01,143,30,28000,35,,1902,1,1,1,1,1,0,0,1,0
01,145,31,28600,55,,6203,1,1,1,1,0,1,1,1,0
01,62,34,52000,40,,6209,1,1,1,1,0,1,1,1,1
01,67,30,60000,40,,5003,1,1,1,1,0,1,1,1,0
01,40,31,65000,40,,2602,1,1,1,4,0,1,1,0,
01,62,37,12900,40,,2406,1,1,5,1,0,0,1,1,0
01,40,31,45000,35,,6107,1,1,1,1,0,0,0,0,
01,16,32,86000,40,2006,2502,2,4,1,3,0,1,1,0,
01,84,38,70000,60,,6201,1,1,1,2,0,1,1,1,0
01,77,40,72000,40,,5504,1,1,1,1,0,1,1,0,
01,69,30,55000,45,,5404,1,1,1,1,0,1,1,1,0
01,113,38,47700,41,,5004,1,1,1,2,0,1,1,1,0
01,104,37,50000,45,,5506,1,1,1,2,0,1,1,0,
01,102,31,39000,45,1990,5301,2,4,1,3,0,1,1,0,
01,256,36,24400,40,,3301,1,1,1,1,0,1,1,1,0
01,177,36,4500,40,,2603,1,1,5,1,0,0,1,0,
01,65,35,40000,40,,5200,1,1,1,1,0,1,1,1,1
01,367,31,75000,40,,6201,1,1,1,1,0,1,1,0,
01,84,38,17000,30,,6107,1,1,4,1,0,0,0,1,0
01,61,30,13400,99,,5506,1,1,6,1,0,0,1,0,
01,129,34,32000,40,,5301,1,1,1,1,0,1,1,1,0
01,56,33,125000,40,,2418,1,1,1,1,0,1,1,0,
01,31,31,41000,40,,2304,1,1,1,2,0,1,1,1,1
01,73,31,30000,40,,6206,1,1,1,1,0,1,1,0,
01,103,40,70000,50,,1401,1,1,1,1,0,1,1,0,
01,90,38,25000,40,,5200,1,1,1,1,0,1,1,1,0
01,244,35,90000,40,,6200,1,1,1,1,0,1,1,0,
01,89,36,80000,54,,2304,1,1,1,1,0,1,1,1,0
01,132,38,40000,45,,6402,1,1,1,1,0,1,1,0,
01,80,34,25000,24,,6107,1,1,1,1,0,0,0,1,0
01,78,33,70000,40,,2400,1,1,1,1,0,1,1,0,
01,98,38,116000,40,,2408,1,1,1,2,0,1,1,0,
01,37,32,40000,45,2005,6105,2,4,4,3,0,0,1,1,1
01,105,35,35000,20,,6107,1,1,4,1,0,0,0,1,1
01,61,35,53000,40,,5301,1,1,1,1,0,1,1,0,
01,78,40,60000,40,,6203,1,1,1,1,0,1,1,0,
01,76,36,67000,40,1976,6207,1,5,1,1,0,1,1,1,0
01,58,39,90000,45,,6201,1,1,1,2,0,1,1,0,
01,87,34,55000,40,,6203,1,1,1,1,0,1,1,0,
01,18,34,45000,40,,6203,1,1,1,1,0,1,1,1,1
01,41,32,38000,40,,6200,1,1,1,1,0,1,1,0,
01,120,31,58000,40,,5301,1,1,1,2,0,1,1,1,0
01,153,35,25000,40,,6206,1,1,3,1,0,0,1,0,
01,89,40,52000,40,,5200,1,1,1,1,0,1,1,1,0
01,102,35,50000,40,,6200,1,1,1,2,0,1,1,1,0
01,166,38,50000,40,,6203,1,1,1,1,0,1,1,1,0
01,12,40,50000,50,,2306,1,1,1,1,0,1,1,0,
01,86,38,150000,60,,2306,1,1,1,2,0,1,1,0,
01,68,38,52000,40,,5301,1,1,1,2,0,1,1,1,0
01,66,34,42000,49,,6402,1,1,3,1,0,0,1,1,0
01,78,33,60000,40,,6203,1,1,1,1,0,1,1,0,
01,58,31,50000,40,,2311,1,1,1,1,0,1,1,1,0
01,19,34,58000,32,,5404,1,1,1,1,0,0,0,1,0
01,333,33,65000,40,,6107,1,1,1,2,0,1,1,1,0
01,107,34,125000,36,,6107,1,1,1,2,0,1,1,1,0
01,22,38,48000,50,,2314,1,1,1,1,0,1,1,0,
01,52,33,20000,40,,1903,1,1,3,1,0,0,1,0,
01,54,32,43000,50,,3600,1,1,1,1,0,1,1,1,0
01,13,31,34000,40,,2304,1,1,1,1,0,1,1,0,
01,89,38,14700,20,,4101,1,1,1,1,0,0,0,0,
01,85,31,73000,42,,2102,1,1,1,1,0,1,1,0,
01,67,37,50000,40,,6201,1,1,1,2,0,1,1,0,
01,65,37,37000,50,,6107,1,1,4,1,0,0,1,1,0
01,81,33,80000,60,1977,6200,1,5,1,1,0,1,1,0,
01,104,35,34000,42,,6203,1,1,3,1,0,0,1,1,0
01,51,37,267000,40,,2102,1,1,1,1,0,1,1,0,
01,93,31,24000,30,,2901,1,1,1,1,0,0,0,1,0
