"ST","AGEP","race","hispanic","female","logwage","logearn","field","mfield"
"01",33,1,0,0,6.5510803350434,10.2399597891573,62,6
"01",26,2,0,1,6.74523634948436,10.4341158035983,36,7
"01",27,2,0,0,6.72543372218818,10.5966347330961,61,9
"01",31,1,0,1,7.23625934595417,10.8197782844103,61,9
"01",33,4,0,0,7.36201055125973,11.0508900053737,21,2
"01",31,1,0,1,7.46737106691756,11.1562505210315,62,6
"01",35,1,0,0,8.02834647436902,11.8350089641393,62,6
"01",28,1,0,1,7.3132203870903,11.0020998412042,24,4
"01",31,1,0,0,7.22620901010067,10.9150884642146,24,4
"01",30,1,0,0,7.02553831463852,10.7144177687525,21,2
"01",34,1,0,1,7.53636393840451,11.2252433925184,62,6
"01",40,1,0,1,6.95654544315157,10.6454248972655,61,9
"01",35,1,0,1,7.2472624192985,11.0974100210086,61,9
"01",36,1,0,0,6.96602418710611,10.7726866768764,19,1
"01",28,4,0,1,6.89770494312864,10.5865843972426,23,3
"01",26,1,0,0,5.99146454710798,9.90348755253613,41,10
"01",30,1,0,1,7.46737106691756,11.1562505210315,33,8
"01",38,1,0,1,6.76465443534146,10.5713169251118,23,3
"01",36,4,0,0,7.60090245954208,11.4075649493124,55,5
"01",35,1,0,0,7.49554194388426,11.7440371859336,23,3
"01",39,1,0,0,7.82404601085629,11.5129254649702,62,6
"01",33,1,0,1,7.36377266625313,11.1704351560235,33,8
"01",37,1,0,0,8.00636756765025,11.6952470217642,62,6
"01",35,1,0,1,6.77422388635761,10.4631033404715,62,6
"01",40,1,0,0,7.99967857949945,11.9117015849276,24,4
"01",32,1,0,1,6.78997224332575,10.5966347330961,13,7
"01",34,1,0,1,7.05233650779325,10.8589989975636,23,3
"01",34,1,0,0,7.74548368835319,11.5521461781235,24,4
"01",32,1,0,0,5.7037824746562,9.39266192877014,55,5
"01",37,1,0,0,7.6377164326648,11.3265958867787,24,4
"01",28,4,0,1,6.93244789157251,10.6213273456864,62,6
"01",28,1,0,1,7.02553831463852,10.7144177687525,61,9
"01",29,1,0,0,7.23625934595417,10.8197782844103,61,9
"01",38,1,0,1,6.77422388635761,10.4631033404715,23,3
"01",40,1,0,1,7.02553831463852,10.7144177687525,50,7
"01",40,1,0,0,7.13089883029635,10.8197782844103,55,5
"01",39,1,0,1,6.10924758276437,9.7981270368783,62,6
"01",37,1,0,0,6.95654544315157,10.6454248972655,62,6
"01",26,1,0,1,6.67891370655329,10.4631033404715,62,6
"01",40,1,0,1,7.9686272396674,11.7752897294377,55,5
"01",31,1,0,0,6.59538059393998,10.3089526606443,19,1
"01",38,3,0,1,6.98007594056176,10.6689553946757,61,9
"01",31,1,0,0,4.8283137373023,8.51719319141624,52,5
"01",30,1,0,0,6.53800825347605,10.5453414387085,49,10
"01",38,1,0,1,6.95124039092188,10.7579028806922,19,1
"01",30,1,0,1,7.39326309476384,11.0821425488778,62,6
"01",28,1,1,1,6.25382881157547,9.94270826568941,19,1
"01",35,2,0,1,6.62007320653036,10.3089526606443,62,6
"01",36,2,0,1,6.62007320653036,10.3089526606443,55,5
"01",27,2,0,1,6.80239476332431,10.4912742174382,23,3
"01",40,1,0,1,7.40853056689463,11.0974100210086,23,3
"01",33,1,0,0,7.19543735143392,11.289781913656,24,4
"01",26,2,0,1,6.16331480403464,9.85219425814858,62,6
"01",27,1,0,0,7.41858090274813,11.2252433925184,62,6
"01",28,1,0,1,6.75360459915488,10.4912742174382,54,10
"01",29,1,0,1,6.62007320653036,10.3089526606443,23,3
"01",26,1,0,0,6.25382881157547,10.1658518170036,21,2
"01",26,1,0,0,6.38981218744728,10.2399597891573,26,8
"01",27,1,0,0,7.60090245954208,11.289781913656,24,4
"01",34,1,0,0,6.90775527898214,10.5966347330961,49,10
"01",27,1,0,1,6.21460809842219,9.90348755253613,62,6
"01",35,1,0,1,6.88243747099785,10.5713169251118,26,8
"01",30,1,0,0,6.68461172766793,10.3734911817819,23,3
"01",27,1,0,0,6.68461172766793,10.9331069697173,24,4
"01",39,1,0,0,7.43838353004431,11.3504065354725,56,10
"01",38,1,0,0,6.54003049885682,10.7144177687525,41,10
"01",37,1,0,1,6.65286302935335,10.3417424834673,19,1
"01",35,1,0,0,7.85360481309784,11.5424842672118,13,7
"01",27,1,0,1,7.13089883029635,10.7144177687525,61,9
"01",38,1,0,1,7.09007683577609,10.77895628989,62,6
"01",34,1,0,0,7.20785987143248,10.8967393255464,21,2
"01",40,1,0,1,7.47920552456456,11.3504065354725,61,9
"01",35,1,0,1,6.51471269087253,10.2035921449865,62,6
"01",26,1,0,0,6.73340189183736,10.6454248972655,55,5
"01",32,1,0,1,6.95654544315157,10.6454248972655,62,6
"01",27,1,0,0,6.4377516497364,10.1266311038503,60,8
"01",37,1,0,1,6.78100357334299,10.5186731916264,62,6
"01",39,1,0,1,7.69621263934641,11.3850920934603,52,5
"01",31,2,0,1,6.10924758276437,9.7981270368783,19,1
"01",40,1,0,0,6.59190232956366,10.4631033404715,19,1
"01",38,1,0,1,7.56268124672188,11.2515607008358,62,6
"01",32,2,0,1,6.74817320915767,10.4370526632716,55,5
"01",38,1,0,0,6.53738149068524,10.2750511089686,52,5
"01",40,1,0,1,7.52294091807237,11.2118203721863,13,7
"01",36,2,0,1,6.80239476332431,10.7144177687525,54,10
"01",34,1,0,0,7.1066061377273,11.0186291431554,53,10
"01",29,1,0,1,7.3132203870903,10.8967393255464,61,9
"01",26,1,0,0,5.58599943899982,9.39266192877014,60,8
"01",39,2,0,0,7.13089883029635,10.8197782844103,62,6
"01",31,1,0,1,7.53636393840451,11.2252433925184,61,9
"01",33,1,0,1,6.78997224332575,10.5966347330961,23,3
"01",30,1,0,0,6.51471269087253,10.2035921449865,62,6
"01",33,1,0,1,7.02108396428914,10.7099634184031,61,9
"01",28,1,0,0,7.82404601085629,11.5129254649702,62,6
"01",29,1,0,0,7.34958803126118,11.1562505210315,62,6
"01",34,1,0,0,7.32974968904151,11.0186291431554,62,6
"01",39,1,0,1,7.20785987143248,10.8967393255464,51,10
"01",32,1,0,1,6.63582156349849,10.3734911817819,61,9
"01",34,1,0,0,7.70626297519991,11.5129254649702,62,6
"01",40,1,0,0,7.09007683577609,11.0020998412042,56,10
"01",27,2,0,1,6.68461172766793,10.3734911817819,36,7
"01",34,1,0,1,7.01311579463996,10.8197782844103,62,6
"01",29,1,0,0,7.05617528410041,10.9681982895286,21,2
"01",38,1,0,0,6.68461172766793,10.4912742174382,53,10
"01",30,1,0,1,7.13089883029635,10.8197782844103,62,6
"01",28,1,0,0,6.61399416045397,10.6213273456864,61,9
"01",26,1,0,0,7.12644447994697,10.9331069697173,21,2
"01",28,2,0,1,6.50229017087397,10.3089526606443,52,5
"01",28,1,0,1,6.80239476332431,10.4912742174382,23,3
"01",33,1,0,1,7.02553831463852,10.7144177687525,23,3
"01",38,1,0,0,8.40065937516029,12.4950039373824,13,7
"01",31,2,0,1,6.21460809842219,9.90348755253613,40,10
"01",26,1,0,0,7.41858090274813,11.2252433925184,24,4
"01",38,1,0,0,7.00306545878646,10.6919449129004,52,5
"01",30,2,0,1,7.00306545878646,10.6919449129004,62,6
"01",33,2,0,0,7.27931883541462,10.9681982895286,24,4
"01",30,2,0,0,6.16331480403464,9.85219425814858,62,6
"01",40,1,0,1,6.95654544315157,10.6454248972655,62,6
"01",39,1,0,1,7.02553831463852,10.7144177687525,19,1
"01",31,1,0,0,6.62007320653036,10.3089526606443,62,6
"01",33,1,1,0,6.95654544315157,10.6454248972655,13,7
"01",40,1,0,1,6.62007320653036,10.3089526606443,62,6
"01",31,1,0,1,6.25382881157547,10.2611619968079,62,6
"01",28,1,0,0,6.58202513889283,10.494048144321,23,3
"01",27,1,0,1,7.17438394223609,10.7579028806922,61,9
"01",34,1,0,1,7.17011954344963,10.8589989975636,62,6
"01",30,1,0,1,7.3132203870903,11.0020998412042,50,7
"01",31,4,0,0,7.39326309476384,11.0821425488778,26,8
"01",30,1,0,0,7.43100342274669,11.3022044336546,62,6
"01",27,1,0,1,7.01211529430638,10.7009947484203,55,5
"01",38,1,0,1,7.15070145759253,10.8395809117065,61,9
"01",29,1,0,0,6.74523634948436,10.8395809117065,62,6
"01",32,3,0,0,7.67322312112171,11.3621025752356,25,10
"01",38,2,0,1,7.0619059588094,11.1562505210315,62,6
"01",40,1,0,0,7.49554194388426,11.1844213979982,55,5
"01",30,1,0,1,7.10842597444429,10.9150884642146,54,10
"01",38,2,0,1,7.05911461017212,10.7726866768764,50,7
"01",37,2,0,0,7.01311579463996,10.8197782844103,55,5
"01",31,3,0,0,6.76465443534146,10.5713169251118,53,10
"01",26,1,0,1,7.19543735143392,10.77895628989,61,9
"01",36,1,0,1,6.41345895716736,10.1023384112813,33,8
"01",27,1,0,0,7.33953769540767,11.2515607008358,55,5
"01",35,1,0,1,6.90775527898214,10.5966347330961,52,5
"01",31,1,0,0,7.53636393840451,11.2252433925184,62,6
"01",34,4,1,0,6.62007320653036,10.3089526606443,14,7
"01",37,1,0,0,7.20014324247133,11.1704351560235,54,10
"01",34,1,0,1,6.68461172766793,10.3734911817819,53,10
"01",28,1,0,1,6.77162310465756,10.5558127385758,62,6
"01",32,1,0,1,7.28244872842355,11.0666383623418,33,8
"01",33,1,0,0,8.0471895621705,11.7360690162844,24,4
"01",27,1,0,1,6.3591893272333,9.94270826568941,60,8
"01",31,2,0,1,6.93244789157251,10.6213273456864,23,3
"01",31,1,0,0,6.62007320653036,10.3089526606443,62,6
"01",40,1,0,0,7.24422751560335,11.1562505210315,14,7
"01",38,1,0,1,6.4377516497364,10.1266311038503,52,5
"01",35,1,0,0,7.71868549519847,11.4075649493124,62,6
"01",36,1,0,1,7.30079786709174,11.289781913656,23,3
"01",38,1,0,0,6.78997224332575,10.5966347330961,64,8
"01",33,1,0,0,7.46737106691756,11.1562505210315,24,4
"01",30,2,0,0,5.7037824746562,9.39266192877014,29,10
"01",38,2,0,0,7.97246601597457,11.6613454700885,24,4
"01",35,1,0,0,7.18916773842032,10.8780471925343,53,10
"01",40,1,0,0,7.3132203870903,11.0020998412042,62,6
"01",36,1,0,1,7.42356844425917,11.1124478983731,62,6
"01",39,2,0,0,7.60090245954208,11.4075649493124,62,6
"01",34,1,0,0,7.22620901010067,10.9150884642146,62,6
"01",34,1,0,1,7.02553831463852,10.7144177687525,62,6
"01",32,1,0,0,6.85646198459459,10.5453414387085,62,6
"01",27,1,0,1,6.5510803350434,10.2399597891573,62,6
"01",31,2,0,1,7.27931883541462,10.9681982895286,53,10
"01",26,3,0,0,7.24422751560335,10.9331069697173,24,4
"01",40,1,0,0,7.41858090274813,11.2252433925184,24,4
"01",40,1,0,1,7.17011954344963,10.8589989975636,52,5
"01",35,2,0,1,7.13089883029635,10.8197782844103,62,6
"01",38,1,0,1,7.13089883029635,10.8197782844103,62,6
"01",32,1,0,1,6.28226674689601,9.97114620100994,52,5
"01",29,2,0,0,7.71868549519847,11.4075649493124,24,4
"01",40,1,0,0,6.90775527898214,10.8197782844103,23,3
"01",38,2,0,0,7.82404601085629,11.9183905730784,23,3
"01",27,1,0,1,6.4377516497364,10.1266311038503,50,7
"01",38,2,0,1,7.17011954344963,10.8589989975636,53,10
"01",27,2,0,0,6.74523634948436,11.1272629841582,36,7
"01",27,2,0,0,6.21460809842219,10.5966347330961,23,3
"01",33,1,0,0,7.3132203870903,11.0020998412042,62,6
"01",28,1,0,1,6.10924758276437,9.7981270368783,62,6
"01",32,1,0,0,8.22951111896446,11.9183905730784,62,6
"01",31,1,0,1,7.13089883029635,10.8197782844103,23,3
"01",33,2,0,1,7.39326309476384,11.0821425488778,61,9
"01",34,2,0,1,8.15255007782833,11.7360690162844,61,9
"01",30,1,0,1,6.68461172766793,10.3734911817819,40,10
"01",28,2,0,0,6.85646198459459,10.5453414387085,62,6
"01",38,1,0,0,6.86693328446188,10.77895628989,23,3
"01",32,1,0,1,6.75693238924755,10.6689553946757,36,7
"01",31,1,0,0,6.74523634948436,10.4341158035983,23,3
"01",31,1,0,0,7.46054510184716,11.1982147201305,21,2
"01",37,2,0,0,7.13089883029635,10.8197782844103,62,6
"01",31,1,0,1,7.57558465155779,11.2644641056717,21,2
"01",33,1,0,0,7.19543735143392,11.289781913656,62,6
"01",35,1,0,0,6.90775527898214,10.5966347330961,24,4
"01",37,1,0,0,8.80612448326845,12.4950039373824,21,2
"01",29,1,0,0,7.02553831463852,10.7144177687525,34,8
"01",26,1,0,1,7.86326672400957,11.5521461781235,62,6
"01",35,1,0,0,6.85646198459459,10.5453414387085,62,6
"01",34,1,0,0,7.09007683577609,11.0020998412042,62,6
"01",37,1,0,1,7.26192709270275,10.9508065468167,62,6
"01",40,1,0,1,6.93244789157251,10.6213273456864,23,3
"01",30,1,0,0,7.13089883029635,10.8197782844103,23,3
"01",26,1,0,1,6.71538338633468,10.4042628404486,23,3
"01",37,1,0,1,7.3132203870903,11.0020998412042,61,9
"01",37,1,0,0,7.50559227973776,11.5129254649702,62,6
"01",27,1,0,0,7.02553831463852,10.7144177687525,59,10
"01",34,1,0,0,7.74066440191724,11.4295438560312,24,4
"01",27,1,0,1,6.27914661955976,10.0858091093301,62,6
"01",29,4,0,1,5.66122286023741,9.35010231435134,19,1
