famid,age,daded_a,t,lw,married,omarried,educ,oeduc,female,ofemale,exp,oexp
2,33.25119,12,1,2.479523,0,0,16,16,1,1,11.25119,11.25119
2,33.25119,12,2,2.220177,0,0,16,16,1,1,11.25119,11.25119
4,43.57014,12,1,2.949527,0,1,18,12,1,1,19.57014,25.57014
4,43.57014,12,2,2.228209,1,0,12,18,1,1,25.57014,19.57014
6,30.96782,12,1,2.850934,1,1,12,12,0,0,12.96782,12.96782
6,30.96782,12,2,2.862515,1,1,12,12,0,0,12.96782,12.96782
7,34.6338,12,1,2.883505,0,0,14,14,0,0,14.6338,14.6338
7,34.6338,12,2,2.322521,0,0,14,14,0,0,14.6338,14.6338
11,34.97878,12,1,3.614503,1,0,13,15,1,1,15.97878,13.97878
11,34.97878,12,2,2.091243,0,1,15,13,1,1,13.97878,15.97878
13,29.33881,16,1,2.544062,0,1,12,14,0,0,11.33881,9.33881
13,29.33881,16,2,2.767205,1,0,14,12,0,0,9.33881,11.33881
14,47.60574,12,1,1.891737,1,1,12,12,1,1,29.60574,29.60574
14,47.60574,12,2,2.36174,1,1,12,12,1,1,29.60574,29.60574
15,51.90143,12,1,2.906967,0,0,12,13,0,0,33.90143,32.90143
15,51.90143,12,2,2.855216,0,0,13,12,0,0,32.90143,33.90143
16,36.07666,12,1,2.544062,1,1,12,12,0,0,18.07666,18.07666
16,36.07666,12,2,2.831744,1,1,12,12,0,0,18.07666,18.07666
18,48.12045,17.5,1,3.278031,0,0,18,17,1,1,24.12045,25.12045
18,48.12045,17.5,2,2.808027,0,0,17,18,1,1,25.12045,24.12045
21,33.95482,12,1,2.031846,1,1,12,14,1,1,15.95482,13.95482
21,33.95482,12,2,2.337448,1,1,14,12,1,1,13.95482,15.95482
25,39.34018,9,1,2.767205,1,0,14,12,0,0,19.34018,21.34018
25,39.34018,9,2,2.138597,0,1,12,14,0,0,21.34018,19.34018
26,38.5325,12,1,2.445622,0,0,12,13,0,0,20.5325,19.5325
26,38.5325,12,2,2.767205,0,0,13,12,0,0,19.5325,20.5325
28,23.6824,18,1,2.493912,0,0,17,16,1,1,0.6824,1.6824
28,23.6824,18,2,2.872566,0,0,16,17,1,1,1.6824,0.6824
29,35.66324,12,1,2.737433,0,0,12,15,1,1,17.66324,14.66324
29,35.66324,12,2,2.658877,0,0,15,12,1,1,14.66324,17.66324
30,21.34975,12,1,2.25638,0,0,14,14,0,0,1.34975,1.34975
30,21.34975,12,2,1.930957,0,0,14,14,0,0,1.34975,1.34975
33,33.63997,12,1,2.36174,0,1,12,12,1,1,15.63997,15.63997
33,33.63997,12,2,2.856436,1,0,12,12,1,1,15.63997,15.63997
35,24.64066,12,1,2.047029,0,0,14,16,1,1,4.64066,2.64066
35,24.64066,12,2,2.544062,0,0,16,14,1,1,2.64066,4.64066
36,46.36549,9,1,2.026268,1,1,12,12,1,1,28.36549,28.36549
36,46.36549,9,2,1.859213,1,1,12,12,1,1,28.36549,28.36549
37,43.85489,12,1,3.585516,0,0,18,15,0,0,19.85489,22.85489
37,43.85489,12,2,2.138597,0,0,15,18,0,0,22.85489,19.85489
38,61.87268,8,1,1.668593,1,1,12,12,0,0,43.87268,43.87268
38,61.87268,8,2,3.683496,1,1,12,12,0,0,43.87268,43.87268
39,24.11772,12,1,3.17267,0,0,16,16,0,0,2.11772,2.11772
39,24.11772,12,2,1.668593,0,0,16,16,0,0,2.11772,2.11772
42,32.5941,13,1,2.544062,1,0,14,11,0,0,12.5941,15.5941
42,32.5941,13,2,2.45705,0,1,11,14,0,0,15.5941,12.5941
44,53.85352,12,1,2.831744,0,0,12,12,0,0,35.85352,35.85352
44,53.85352,12,2,2.544062,0,0,12,12,0,0,35.85352,35.85352
47,39.61943,7,1,2.799995,0,0,12,18,0,0,21.61943,15.61943
47,39.61943,7,2,3.278031,0,0,18,12,0,0,15.61943,21.61943
48,22.07254,12,1,3.031569,0,0,16,16,0,0,0.07254,0.07254
48,22.07254,12,2,1.997495,0,0,16,16,0,0,0.07254,0.07254
49,38.026,11.5,1,2.495272,1,1,12,12,1,1,20.026,20.026
49,38.026,11.5,2,2.767205,1,1,12,12,1,1,20.026,20.026
51,53.63722,11.5,1,1.983304,1,1,12,14,0,0,35.63722,33.63722
51,53.63722,11.5,2,3.054887,1,1,14,12,0,0,33.63722,35.63722
52,28.32306,13,1,2.767205,0,0,16,16,1,1,6.32306,6.32306
52,28.32306,13,2,2.658989,0,0,16,16,1,1,6.32306,6.32306
54,29.86172,10,1,1.859213,1,1,12,12,1,1,11.86172,11.86172
54,29.86172,10,2,2.005065,1,1,12,12,1,1,11.86172,11.86172
56,36.98563,13.5,1,2.36174,0,0,14,16,0,0,16.98563,14.98563
56,36.98563,13.5,2,2.710047,0,0,16,14,0,0,14.98563,16.98563
57,44.23271,13,1,3.788857,0,0,18,18,1,1,20.23271,20.23271
57,44.23271,13,2,3.188419,0,0,18,18,1,1,20.23271,20.23271
58,22.15468,12,1,1.604055,0,0,16,16,1,1,0.15468,0.15468
58,22.15468,12,2,1.470142,0,0,16,16,1,1,0.15468,0.15468
59,40.04927,12,1,3.054887,1,1,13,13,1,1,21.04927,21.04927
59,40.04927,12,2,3.151275,1,1,13,13,1,1,21.04927,21.04927
60,53.66461,12,1,4.114278,1,1,14,15,0,0,33.66461,32.66461
60,53.66461,12,2,4.625103,1,1,15,14,0,0,32.66461,33.66461
61,35.20055,13,1,2.504836,1,1,17,16,1,1,12.20055,13.20055
61,35.20055,13,2,3.054887,1,1,16,17,1,1,13.20055,12.20055
62,61.15811,10,1,2.831744,1,1,12,16,0,0,43.15811,39.15811
62,61.15811,10,2,2.584884,1,1,16,12,0,0,39.15811,43.15811
64,37.21834,11,1,1.946225,1,1,12,12,0,0,19.21834,19.21834
64,37.21834,11,2,1.668593,1,1,12,12,0,0,19.21834,19.21834
65,52.93361,17,1,3.748034,0,0,18,18,0,0,28.93361,28.93361
65,52.93361,17,2,3.565713,0,0,18,18,0,0,28.93361,28.93361
66,23.89047,12,1,2.310447,0,0,14,14,0,0,3.89047,3.89047
66,23.89047,12,2,2.033236,0,0,14,14,0,0,3.89047,3.89047
68,35.60847,12,1,2.624104,1,1,14,14,0,0,15.60847,15.60847
68,35.60847,12,2,2.45705,1,1,14,14,0,0,15.60847,15.60847
69,58.13278,10,1,2.388382,1,1,12,12,0,0,40.13278,40.13278
69,58.13278,10,2,2.095167,1,1,12,12,0,0,40.13278,40.13278
70,63.718,11,1,2.908842,1,1,13,15,0,0,44.718,42.718
70,63.718,11,2,2.767205,1,1,15,13,0,0,42.718,44.718
71,42.08624,17,1,2.698212,0,1,16,18,0,0,20.08624,18.08624
71,42.08624,17,2,3.971178,1,0,18,16,0,0,18.08624,20.08624
72,61.35522,12,1,2.933588,1,1,12,12,0,0,43.35522,43.35522
72,61.35522,12,2,2.624104,1,1,12,12,0,0,43.35522,43.35522
73,23.00067,9.5,1,2.584884,0,0,13,14,0,0,4.00067,3.00067
73,23.00067,9.5,2,2.698212,0,0,14,13,0,0,3.00067,4.00067
74,19.8987,17,1,1.850915,0,0,13,13,0,0,0.8987,0.8987
74,19.8987,17,2,1.850915,0,0,13,13,0,0,0.8987,0.8987
75,24.731,16,1,1.668593,0,0,18,18,0,0,0.731,0.731
75,24.731,16,2,1.332121,0,0,18,18,0,0,0.731,0.731
78,28.73648,16,1,2.544062,1,0,16,16,1,1,6.73648,6.73648
78,28.73648,16,2,2.544062,0,1,16,16,1,1,6.73648,6.73648
