hsgpa,psu,entercollege,privatehs,hidad,himom,over475
60,396,0,0,0,0,0
65,402.5,0,0,0,0,0
55,485,0,0,0,0,1
0,461.5,0,0,0,0,0
62,394,0,0,0,0,0
57,409,0,0,0,0,0
64,475,0,0,0,0,1
55,421,0,0,0,0,0
0,406.5,0,0,0,0,0
48,424,0,0,0,0,0
0,499.5,1,0,0,0,1
61,346,1,0,0,0,0
56,441.5,0,0,0,0,0
61,360,0,0,0,0,0
57,344.5,0,0,0,0,0
63,393,0,0,0,0,0
60,379.5,0,0,0,0,0
52,460,0,0,0,0,0
0,456,0,0,0,0,0
50,308.5,0,0,0,0,0
60,349,0,0,0,0,0
0,398,0,0,0,0,0
65,451.5,0,0,0,0,0
49,387.5,0,0,0,0,0
53,552,0,0,0,0,1
55,461.5,0,0,0,0,0
56,410,0,0,0,0,0
63,416.5,0,0,0,0,0
0,408,0,0,0,0,0
64,479,1,0,0,0,1
57,357,0,0,0,0,0
64,350,0,0,1,0,0
58,407,0,0,0,0,0
66,350.5,0,0,0,0,0
69,489.5,1,0,0,0,1
60,308,0,0,0,0,0
51,385,0,0,0,0,0
61,520,0,0,1,0,1
53,498,0,0,0,0,1
0,426.5,0,0,0,0,0
54,337.5,0,0,0,0,0
52,450,0,0,1,0,0
0,381,0,0,0,0,0
60,444,0,0,0,0,0
61,458.5,0,0,0,0,0
63,450,0,0,0,0,0
0,380.5,0,0,0,0,0
62,421.5,0,0,0,0,0
68,504,1,0,0,0,1
66,324,0,0,0,0,0
52,361,0,0,0,0,0
54,388,0,0,0,0,0
63,365.5,0,0,0,0,0
62,306,0,0,0,0,0
53,351,0,0,0,0,0
0,414.5,0,0,0,0,0
0,320.5,0,0,0,0,0
62,318,0,0,0,0,0
58,393,0,0,0,0,0
50,427,0,0,0,0,0
0,347.5,0,0,0,0,0
62,319.5,0,0,0,0,0
0,379.5,0,0,0,0,0
67,387,0,0,0,0,0
62,376.5,0,0,0,0,0
62,442.5,0,0,0,0,0
64,315.5,0,0,0,0,0
61,472.5,0,0,0,0,0
68,526,1,0,0,0,1
65,427,0,0,0,0,0
51,373.5,0,0,0,0,0
0,393.5,0,0,0,0,0
52,491.5,1,0,0,0,1
56,361,0,0,0,0,0
58,398.5,0,0,0,0,0
0,467.5,0,0,0,0,0
58,338,0,0,0,0,0
59,405.5,0,0,0,0,0
63,346.5,0,0,0,0,0
63,457.5,0,0,0,0,0
65,417,0,0,0,0,0
0,386.5,0,0,0,0,0
57,389.5,0,0,0,0,0
60,332,0,0,0,0,0
48,433.5,0,0,0,0,0
56,442.5,0,0,0,0,0
45,407.5,0,0,0,0,0
64,416.5,0,0,0,0,0
57,545,1,0,0,0,1
54,398.5,0,1,0,0,0
56,324.5,0,0,0,0,0
63,323,0,0,0,0,0
55,307.5,0,0,0,0,0
60,462.5,1,0,0,0,0
0,394,0,0,0,0,0
0,413,0,0,0,0,0
52,314.5,0,0,0,0,0
68,517.5,1,0,0,0,1
54,419,0,0,0,0,0
62,397.5,0,0,0,0,0
0,453,0,0,0,0,0
56,417,0,0,0,0,0
54,441.5,0,0,0,0,0
48,308,0,0,0,0,0
0,306.5,0,0,0,0,0
61,399,0,0,0,0,0
55,375.5,0,0,0,0,0
51,355.5,0,0,0,0,0
68,339.5,0,0,0,0,0
56,362.5,0,0,0,0,0
0,436.5,1,0,0,0,0
0,445,0,0,0,0,0
57,409.5,0,0,0,0,0
57,387.5,0,0,0,0,0
63,421.5,0,0,0,0,0
65,417.5,0,0,0,0,0
53,347.5,0,0,0,0,0
56,366.5,0,0,0,0,0
67,472.5,0,0,0,0,0
0,339.5,0,0,0,0,0
57,326.5,0,0,0,0,0
66,350.5,0,0,0,0,0
54,317,0,0,0,0,0
61,341,0,0,0,0,0
53,384,0,0,0,0,0
66,502,1,0,1,1,1
51,345,0,0,0,0,0
54,386,0,0,0,0,0
57,475,0,0,0,0,1
53,421,0,0,0,0,0
58,350.5,0,0,0,0,0
61,337,0,0,0,0,0
51,317,0,0,0,0,0
61,477,0,0,0,0,1
53,389.5,0,0,0,0,0
66,481,1,0,0,0,1
0,404,0,0,0,0,0
62,343,0,0,0,0,0
59,441,0,0,0,0,0
51,463,0,0,0,0,0
54,325,0,0,0,0,0
55,450,0,0,0,0,0
53,355.5,0,0,0,0,0
53,344.5,0,0,0,0,0
61,453,0,0,0,0,0
0,428.5,0,0,0,0,0
54,376,0,0,0,0,0
63,400.5,0,0,0,0,0
69,442,0,0,0,0,0
51,379.5,0,0,0,0,0
57,324,0,0,0,0,0
0,330,0,0,0,0,0
61,369.5,0,0,0,0,0
0,381.5,0,0,0,0,0
53,394,0,0,0,0,0
49,338,0,0,0,0,0
56,379.5,0,0,0,0,0
57,484,0,0,0,0,1
52,321.5,0,0,0,0,0
59,472,0,0,0,0,0
55,392.5,0,0,0,0,0
55,343,0,0,0,0,0
53,490.5,1,0,0,0,1
54,447.5,0,0,0,0,0
66,409.5,0,0,0,0,0
60,331.5,0,0,0,0,0
61,425,0,0,0,0,0
55,545.5,1,0,0,0,1
58,379.5,0,0,0,0,0
0,389.5,0,0,0,0,0
61,353.5,0,0,0,0,0
66,403.5,0,0,0,0,0
52,307.5,0,0,0,0,0
53,309.5,1,0,0,0,0
58,475,0,0,0,0,1
57,428,0,0,0,0,0
0,510,0,0,0,0,1
53,399,0,0,0,0,0
57,379.5,0,0,0,0,0
62,416.5,0,0,0,0,0
68,450,1,0,0,0,0
62,545.5,0,0,0,0,1
62,387,0,0,0,0,0
57,349.5,0,0,0,0,0
61,379.5,0,0,0,0,0
49,491.5,0,0,0,0,1
54,419.5,1,0,0,0,0
47,309.5,0,0,0,0,0
51,414,0,0,0,0,0
0,430.5,0,0,0,0,0
54,462.5,0,0,0,0,0
52,427,0,0,0,0,0
62,441,1,0,0,0,0
57,378,0,0,0,0,0
59,453.5,0,0,1,0,0
54,456,0,0,0,0,0
0,359,0,0,0,1,0
59,413,0,0,0,0,0
69,350.5,0,0,0,0,0
64,425.5,0,0,0,0,0
61,349.5,0,0,0,1,0
64,399.5,0,0,0,0,0
59,330,0,0,1,0,0
0,438,0,0,0,0,0
47,392.5,0,0,0,0,0
54,306,0,0,0,0,0
61,449.5,0,0,0,0,0
56,416.5,0,0,0,0,0
51,365.5,0,0,0,0,0
62,360,0,0,0,0,0
51,327.5,0,0,0,0,0
59,335,0,0,0,0,0
48,371.5,0,0,0,0,0
63,470.5,0,0,0,0,0
57,409.5,0,0,0,0,0
54,422,0,0,0,0,0
63,460,0,0,0,0,0
57,402,0,0,0,0,0
57,330.5,0,0,0,0,0
55,379,0,0,0,0,0
0,439.5,0,0,0,0,0
62,428,0,0,0,0,0
0,343,0,0,0,0,0
61,375.5,0,0,0,0,0
57,374.5,0,0,0,0,0
64,428.5,0,0,0,0,0
62,413.5,0,0,0,0,0
62,371.5,0,0,0,0,0
61,413,0,0,0,0,0
54,341.5,0,0,0,0,0
58,362,0,0,0,0,0
62,410,0,0,0,0,0
61,402.5,0,0,0,0,0
54,343,0,0,0,0,0
53,318.5,0,0,0,0,0
54,409.5,0,0,0,0,0
60,359,0,0,0,0,0
57,472,0,0,0,0,0
65,363.5,0,0,0,0,0
54,332,0,0,0,0,0
0,478.5,0,0,0,0,1
60,359.5,0,0,0,0,0
66,440,0,0,0,0,0
55,375.5,0,0,0,0,0
58,385,0,0,0,0,0
63,366.5,0,0,0,0,0
63,423.5,0,0,0,0,0
40,421.5,0,0,0,0,0
66,429,0,0,0,0,0
54,425.5,1,0,0,0,0
62,500,1,0,0,0,1
57,480,0,0,0,0,1
59,314.5,0,0,0,0,0
