"year","y","age","educ","female","yl1","yl2","yp1","dy","dy_pre","dy_post","va","va_previous","dva","year_previous"
2004,1.095041,51,4,0,1.180296,0.8507397,1.072341,-0.0852550000000001,0.3295563,-0.0226999999999999,2.283955,2.42332,-0.139365,2003
2004,1.232154,52,4,1,1.216949,1.219099,1.237062,0.0152049999999999,-0.00214999999999987,0.00490800000000013,2.529357,2.527768,0.00158900000000006,2003
2006,1.352038,58,6,0,1.36089,1.359955,1.350469,-0.00885199999999986,0.000934999999999908,-0.00156900000000015,4.134363,3.428881,0.705481999999999,2005
2006,1.395308,59,6,0,1.229527,1.156916,1.324088,0.165781,0.072611,-0.0712200000000001,2.301334,2.632477,-0.331143,2005
2007,2.226954,57,6,0,2.370564,2.381588,2.527164,-0.14361,-0.0110239999999999,0.30021,2.485095,3.65206,-1.166965,2006
2007,1.457812,58,4,0,1.203318,1.408947,1.699842,0.254494,-0.205629,0.24203,3.201258,2.65333,0.547928,2006
2007,1.422506,57,4,0,2.021384,1.319932,1.543123,-0.598878,0.701452,0.120617,2.455839,1.853072,0.602767,2006
2006,1.285938,53,4,0,1.391182,1.19219,1.261238,-0.105244,0.198992,-0.0246999999999999,2.618372,1.913791,0.704581,2005
2006,1.050216,56,4,0,0.8457341,0.8438483,1.025516,0.2044819,0.00188580000000005,-0.0246999999999999,2.27402,2.466834,-0.192814,2005
2007,4.340468,56,12,0,3.978085,3.80998,4.205882,0.362383,0.168105,-0.134586000000001,3.645986,3.648608,-0.00262199999999968,2006
2006,0.9666507,54,6,0,0.9972507,1.063059,1.006346,-0.0306000000000001,-0.0658082999999999,0.0396953,2.499644,1.901654,0.59799,2005
2004,2.506642,39,12,0,2.649683,2.03362,2.514146,-0.143041,0.616063,0.0075040000000004,3.547711,3.453665,0.0940460000000001,2003
2008,2.123516,47,12,1,2.311596,2.325622,2.346504,-0.18808,-0.0140259999999999,0.222988,3.840903,3.138304,0.702599,2007
2004,2.709149,41,16,0,2.660183,2.692683,2.905062,0.0489660000000001,-0.0325000000000002,0.195913,3.916379,3.50212,0.414259,2003
2006,2.738921,35,16,1,2.528513,2.449893,2.898552,0.210408,0.0786199999999999,0.159631,3.09458,3.345048,-0.250468,2005
2008,2.864858,41,16,1,2.761233,2.752275,2.88974,0.103625,0.0089579999999998,0.0248820000000003,3.09458,1.788328,1.306252,2007
2008,2.180856,36,16,1,2.476655,2.35955,2.390836,-0.295799,0.117105,0.20998,3.597873,4.06151,-0.463637,2007
