code_numeric,fhpolrigaug,lrgdpch,laborshare,lpop,socialist,medage,year
1,NA,NA,NA,NA,0,NA,1960
1,NA,NA,NA,NA,0,NA,1965
1,0.5,NA,NA,NA,0,NA,1970
1,NA,NA,NA,NA,0,NA,1975
1,NA,NA,NA,NA,0,NA,1980
1,NA,NA,NA,NA,0,NA,1985
1,NA,NA,NA,NA,0,NA,1990
1,1,NA,NA,NA,0,NA,1995
1,1,NA,NA,4.204693,0,NA,2000
2,0.14,NA,NA,9.211939,0,18.4,1960
2,0.23,NA,NA,9.316051,0,18.3,1965
2,0.5,NA,NA,9.430038,0,18.1,1970
2,0,NA,NA,9.549523,0,18,1975
2,0,NA,NA,9.677214,0,18,1980
2,0,NA,NA,9.667164,0,17.9,1985
2,0,NA,NA,9.780493,0,17.9,1990
2,0,NA,NA,9.995604,0,18,1995
2,0,NA,NA,10.18678,0,18.1,2000
3,NA,7.812518,NA,8.479699,0,19.1,1960
3,0.12,7.963571,NA,8.552561,0,18.9,1965
3,NA,8.11033,NA,8.628377,0,18.6,1970
3,0.1666667,7.642973,NA,8.730206,0,18.2,1975
3,0,7.563512,NA,8.862484,0,17.7,1980
3,0,7.528483,NA,9.033364,0,17.2,1985
3,0,7.57377,NA,9.166389,0,16.8,1990
3,0.1666667,7.132994,NA,9.336003,0,16.6,1995
3,0.1666667,NA,NA,9.48296,0,16.3,2000
4,0.2,NA,NA,7.382124,1,19.7,1960
4,0.18,NA,NA,7.533694,1,19,1965
4,0,NA,NA,7.66669,1,18.8,1970
4,0,NA,NA,7.784057,1,19.5,1975
4,0,NA,NA,7.890208,1,21.3,1980
4,0,NA,NA,7.99193,1,22.5,1985
4,0,NA,NA,8.094684,1,23.8,1990
4,0.6666667,7.947575,NA,8.066208,1,25.1,1995
4,0.5,8.1156,NA,8.050065,1,26.7,2000
5,NA,NA,NA,4.49981,0,18.2,1960
5,NA,NA,NA,4.787492,0,20.7,1965
5,0,NA,NA,5.393628,0,22.9,1970
5,0.1666667,NA,0.4309477,6.224558,0,25.4,1975
5,0.3333333,NA,NA,6.949856,0,26.1,1980
5,0.3333333,NA,NA,7.229114,0,27.1,1985
5,0.1666667,NA,NA,7.519692,0,27.9,1990
5,0.1666667,NA,NA,7.758334,0,27.2,1995
5,0.1666667,NA,NA,7.974216,0,29.6,2000
6,0.63,8.905374,0.2713755,9.933823,0,26.8,1960
6,0.53,9.01616,NA,10.01158,0,27.2,1965
6,0.1666667,9.13399,0.320524,10.08422,0,27.4,1970
6,0.8333333,9.20284,0.198948,10.16774,0,27.3,1975
6,0.1666667,9.271142,0.1957906,10.24331,0,27.2,1980
6,0.8333333,9.065316,0.1852767,10.31907,0,27.2,1985
6,1,8.884429,NA,10.38983,0,27.2,1990
6,0.8333333,9.236609,NA,10.45645,0,27.4,1995
6,1,9.306237,NA,10.51954,0,27.9,2000
7,NA,NA,NA,7.534228,1,22.5,1960
7,NA,NA,NA,7.702105,1,20.8,1965
7,NA,NA,NA,7.832014,1,20.4,1970
7,NA,NA,NA,7.946618,1,21.9,1975
7,NA,NA,NA,8.037867,1,23.5,1980
7,NA,NA,NA,8.113426,1,25.2,1985
7,NA,NA,NA,8.173293,1,27,1990
7,0.5,7.735623,NA,8.108924,1,28.7,1995
7,0.5,7.934454,NA,8.043021,1,30.7,2000
8,NA,NA,NA,3.998201,0,NA,1960
8,NA,NA,NA,4.082441,0,NA,1965
8,NA,NA,NA,4.187379,0,NA,1970
8,NA,NA,NA,4.143135,0,NA,1975
8,NA,8.995663,NA,4.110874,0,NA,1980
8,0.8333333,9.256453,NA,4.127134,0,NA,1985
8,0.6666667,9.47458,NA,4.158883,0,NA,1990
8,0.5,9.431346,NA,4.177153,0,NA,1995
8,0.5,9.722494,NA,4.219508,0,NA,2000
